ID,Indicator,Country,"Country Code",Year,"Country Score","Country Color","Country Cateory","Created By","Created At"
1,"Overall Score","No Country",AFG,2023,4.623054256,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
2,"Overall Score",Angola,AGO,2023,4.607524656,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
3,"Overall Score",Albania,ALB,2023,3.500672186,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
4,"Overall Score","United Arab Emirates",ARE,2023,1.688120148,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
5,"Overall Score",Argentina,ARG,2023,3.031915444,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
6,"Overall Score",Armenia,ARM,2023,3.648924806,#fdae61,High,Admin,"2024-12-03 09:49:15"
7,"Overall Score",Australia,AUS,2023,2.608441611,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
8,"Overall Score",Austria,AUT,2023,1.409069931,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
9,"Overall Score",Azerbaijan,AZE,2023,3.179856068,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
10,"Overall Score",Burundi,BDI,2023,4.316697603,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
11,"Overall Score",Belgium,BEL,2023,1.099889682,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
12,"Overall Score",Benin,BEN,2023,4.092930186,#fdae61,High,Admin,"2024-12-03 09:49:15"
13,"Overall Score","Burkina Faso",BFA,2023,4.369602342,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
14,"Overall Score",Bangladesh,BGD,2023,4.206211958,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
15,"Overall Score",Bulgaria,BGR,2023,1.988240593,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
16,"Overall Score",Bahrain,BHR,2023,2.885886949,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
17,"Overall Score","Bosnia and Herzegovina",BIH,2023,3.156583586,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
18,"Overall Score",Belarus,BLR,2023,2.039641588,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
19,"Overall Score",Bolivia,BOL,2023,3.795044224,#fdae61,High,Admin,"2024-12-03 09:49:15"
20,"Overall Score",Brazil,BRA,2023,3.374648969,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
21,"Overall Score",Bhutan,BTN,2023,2.860453908,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
22,"Overall Score",Botswana,BWA,2023,3.338424562,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
23,"Overall Score","Central African Republic",CAF,2023,4.679724992,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
24,"Overall Score",Canada,CAN,2023,1.862275394,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
25,"Overall Score",Switzerland,CHE,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
26,"Overall Score",Chile,CHL,2023,2.457797436,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
27,"Overall Score",China,CHN,2023,2.843505353,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
28,"Overall Score","Côte d'Ivoire",CIV,2023,3.682240232,#fdae61,High,Admin,"2024-12-03 09:49:15"
29,"Overall Score",Cameroon,CMR,2023,4.117346956,#fdae61,High,Admin,"2024-12-03 09:49:15"
30,"Overall Score","Democratic Republic of the Congo",COD,2023,4.265795692,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
31,"Overall Score","Republic of the Congo",COG,2023,4.308226912,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
32,"Overall Score",Colombia,COL,2023,4.206211958,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
33,"Overall Score","Costa Rica",CRI,2023,2.340619546,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
34,"Overall Score",Cuba,CUB,2023,3.761867351,#fdae61,High,Admin,"2024-12-03 09:49:15"
35,"Overall Score",Cyprus,CYP,2023,1.648391792,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
36,"Overall Score",Czechia,CZE,2023,1.690604631,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
37,"Overall Score",Germany,DEU,2023,1.171167282,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
38,"Overall Score",Djibouti,DJI,2023,4.206211958,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
39,"Overall Score",Denmark,DNK,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
40,"Overall Score","Dominican Republic",DOM,2023,3.552740311,#fdae61,High,Admin,"2024-12-03 09:49:15"
41,"Overall Score",Algeria,DZA,2023,2.790120644,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
42,"Overall Score",Ecuador,ECU,2023,3.676847757,#fdae61,High,Admin,"2024-12-03 09:49:15"
43,"Overall Score",Egypt,EGY,2023,3.818895145,#fdae61,High,Admin,"2024-12-03 09:49:15"
44,"Overall Score",Eritrea,ERI,2023,4.398004693,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
45,"Overall Score",Spain,ESP,2023,1.641491156,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
46,"Overall Score",Estonia,EST,2023,1.551459436,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
47,"Overall Score",Ethiopia,ETH,2023,4.409321206,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
48,"Overall Score",Finland,FIN,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
49,"Overall Score",France,FRA,2023,1.747968453,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
50,"Overall Score",Gabon,GAB,2023,3.76238991,#fdae61,High,Admin,"2024-12-03 09:49:15"
51,"Overall Score","United Kingdom",GBR,2023,1.900540328,#1a9850,"Very Low",Admin,"2024-12-03 09:49:15"
52,"Overall Score",Georgia,GEO,2023,2.988733478,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
53,"Overall Score",Ghana,GHA,2023,3.231559949,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
54,"Overall Score",Guinea,GIN,2023,4.131050429,#fdae61,High,Admin,"2024-12-03 09:49:15"
55,"Overall Score",Gambia,GMB,2023,4.164931058,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
56,"Overall Score",Guinea-Bissau,GNB,2023,4.450110984,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
57,"Overall Score","Equatorial Guinea",GNQ,2023,4.382162126,#d73027,"Very High",Admin,"2024-12-03 09:49:15"
58,"Overall Score",Greece,GRC,2023,2.531911743,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
59,"Overall Score",Guatemala,GTM,2023,3.8909683,#fdae61,High,Admin,"2024-12-03 09:49:15"
60,"Overall Score",Guyana,GUY,2023,3.338424562,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
61,"Overall Score",Honduras,HND,2023,3.398150203,#fee98b,Medium,Admin,"2024-12-03 09:49:15"
62,"Overall Score",Croatia,HRV,2023,3.072211936,#a6d96a,Low,Admin,"2024-12-03 09:49:15"
